shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_R01_8b543360,33.727768,130.743535,170,4388.76
shape_R01_8b543360,33.727061,130.743220,171,4472.60
shape_R01_8b543360,33.726601,130.742965,172,4528.92
shape_R01_8b543360,33.726421,130.742874,173,4550.63
shape_R01_8b543360,33.726482,130.742768,174,4562.56
shape_R01_8b543360,33.726659,130.742874,175,4584.54
shape_R01_8b543360,33.727100,130.743123,176,4638.72
shape_R01_8b543360,33.727473,130.743332,177,4684.48
shape_R01_8b543360,33.727798,130.743473,178,4722.89
shape_R01_8b543360,33.728123,130.743605,179,4761.04
shape_R01_8b543360,33.728474,130.743728,180,4801.69
shape_R01_8b543360,33.729048,130.743888,181,4867.21
shape_R01_8b543360,33.729462,130.743992,182,4914.24
shape_R01_8b543360,33.729752,130.744055,183,4947.01
shape_R01_8b543360,33.730443,130.744229,184,5025.51
shape_R01_8b543360,33.731024,130.744372,185,5091.45
shape_R01_8b543360,33.731369,130.744484,186,5131.19
shape_R01_8b543360,33.731611,130.744577,187,5159.44
shape_R01_8b543360,33.731912,130.744712,188,5195.16
shape_R01_8b543360,33.732160,130.744848,189,5225.47
shape_R01_8b543360,33.732438,130.745016,190,5260.07
shape_R01_8b543360,33.732678,130.745212,191,5292.33
shape_R01_8b543360,33.732892,130.745396,192,5321.58
shape_R01_8b543360,33.733132,130.745633,193,5356.11
shape_R01_8b543360,33.733385,130.745913,194,5394.35
shape_R01_8b543360,33.733752,130.746344,195,5451.39
shape_R01_8b543360,33.734033,130.746684,196,5495.72
shape_R01_8b543360,33.734392,130.747079,197,5549.82
shape_R01_8b543360,33.734754,130.747484,198,5604.80
shape_R01_8b543360,33.734964,130.747692,199,5635.06
shape_R01_8b543360,33.735265,130.747945,200,5675.89
shape_R01_8b543360,33.735467,130.748093,201,5702.20
shape_R01_8b543360,33.735868,130.748332,202,5751.96
shape_R01_8b543360,33.736376,130.748562,203,5812.32
shape_R01_8b543360,33.736813,130.748725,204,5863.20
